"","Ingles","Espanol"
"197","Chairwoman","presidenta"
"198","help","ayuda"
"199","moment","momento"
"200","so","tan"
"201","mica","mica"
"202","objective","objetivo"
"203","them","les"
"204","proposals","propuestas"
"205","give","dar"
"206","international","internacional"
"207","government","gobierno"
"208","Many","muchos"
"209","policies","polã­ticas"
"210","mode","modo"
"211","relationship","relaciã"
"212","first name","nombre"
"213","it will be","serã"
"214","millions","millones"
"215","services","servicios"
"216","amendments","enmiendas"
"217","necessary","necesario"
"218","rules","normas"
"219","presidency","presidencia"
"220","tã","tã"
"221","best","mejor"
"222","way","manera"
"223","whole","toda"
"224","even though","aunque"
"225","beech","haya"
"226","other","otro"
"227","that","esa"
"228","something","algo"
"229","affairs","asuntos"
"230","others","otras"
"231","before","ante"
"232","regulation","reglamento"
"233","other","otra"
"234","importance","importancia"
"235","one","uno"
"236","I would like","gustarã­a"
"237","general","general"
"238","aplicaciã","aplicaciã"
"239","objectives","objetivos"
"240","to guarantee","garantizar"
"241","level","nivel"
"242","national","nacionales"
"243","crisis","crisis"
"244","matter","materia"
"245","job","empleo"
"246","rã","rã"
"247","ethics","tica"
"248","terms","condiciones"
"249","day","dã­a"
"250","issues","cuestiones"
"251","particular","particular"
"252","our","nuestras"
"253","It seems","parece"
"254","topic","tema"
"255","tico","tico"
"256","such","tal"
"257","need","necesidad"
"258","women","mujeres"
"259","beginning","principio"
"260","sense","sentido"
"261","decisiã","decisiã"
"262","especially","especialmente"
"263","mo","mo"
"264","budget","presupuesto"
"265","even","incluso"
"266","I hope","espero"
"267","well","pues"
"268","strategy","estrategia"
"269","deputies","diputados"
"270","products","productos"
"271","after","despuã"
"272","research","investigaciã"
"273","goes","va"
"274","many","muchas"
"275","paper","papel"
"276","amendment","enmienda"
"277","vote","votaciã"
"278","a","aãºn"
"279","legislation","legislaciã"
"280","kind","tipo"
"281","atenciã","atenciã"
"282","view","vista"
"283","Last","ãºltimo"
"284","money","fondos"
"285","institutions","instituciones"
"286","power","poder"
"287","forever","siempre"
"288","affair","asunto"
"289","control","control"
"290","three","tres"
"291","new","nuevos"
"292","ambient","ambiente"
"293","new","nueva"
"294","energy","energã­a"
"295","any","cualquier"
"296","nevertheless","obstante"
"297","gives","dã"
"298","first","primera"
"299","position","posiciã"
"300","how much","cuanto"
"301","could","podrã­a"
"302","some","algunas"
"303","change","cambio"
"304","It was","fue"
"305","resources","recursos"
"306","exists","existe"
"307","second","segundo"
"308","serãa","serã­a"
"309","United","unidos"
"310","competition","competencia"
"311","important","importantes"
"312","current","actual"
"313","Question","pregunta"
"314","Health","salud"
"315","inside","dentro"
"316","commitment","compromiso"
"317","past","pasado"
"318","race","razã"
"319","we want","queremos"
"320","Commerce","comercio"
"321","acciã","acciã"
"322","Clear","claro"
"323","some","unos"
"324","monkey","mico"
"325","transport","transporte"
"326","base","base"
"327","article","artã­culo"
"328","answer","respuesta"
"329","Mrs","sra"
"330","quality","calidad"
"331","small","pequeã"
"332","Really","realmente"
"333","democratic","democrã"
"334","talks","negociaciones"
"335","toward","hacia"
"336","Major","mayorã­a"
"337","demã","demã"
"338","responsibility","responsabilidad"
"339","community","comunidad"
"340","lifetime","vida"
"341","fight","lucha"
"342","doubt","duda"
"343","order","orden"
"344","still","todavã­a"
"345","to have","haber"
"346","special","especial"
"347","big","grandes"
"348","world","mundial"
"349","draft","proyecto"
"350","authorities","autoridades"
"351","we need","necesitamos"
"352","regions","regiones"
"353","freedom","libertad"
"354","sã","sã­"
"355","mara","mara"
"356","Market Stall","puesto"
"357","workers","trabajadores"
"358","new","nuevas"
"359","decisions","decisiones"
"360","politician","polã­tico"
"361","European","europeas"
"362","will have","tendrã"
"363","economy","economã­a"
"364","to be","estar"
"365","politicians","polã­ticos"
"366","dice","dado"
"367","through","mediante"
"368","little bit","poco"
"369","democracy","democracia"
"370","social","sociales"
"371","society","sociedad"
"372","which one","cual"
"373","manage","gestiã"
"374","can","pueda"
"375","member","miembro"
"376","use","uso"
"377","cape","cabo"
"378","things","cosas"
"379","voted","votado"
"380","follow","seguir"
"381","travã","travã"
"382","nail","unas"
"383","term","plazo"
"384","opportunity","oportunidad"
"385","measure","medida"
"386","bã","bã"
"387","process","procedimiento"
"388","where","donde"
"389","ampliaciã","ampliaciã"
"390","nothing","nada"
"391","increase","crecimiento"
"392","result","resultado"
"393","Creation","creaciã"
"394","background","fondo"
"395","to get better","mejorar"
"396","solution","soluciã"
"397","initiative","iniciativa"
"398","to weigh","pesar"
"399","relations","relaciones"
"400","day","diã"
"401","consumers","consumidores"
"402","aspects","aspectos"
"403","they","ellos"
"404","access","acceso"
"405","watch","ver"
"406","inter","interã"
"407","was","era"
"408","Agreements","acuerdos"
"409","reality","realidad"
"410","national","nacional"
"411","inside","interior"
"412","lack","falta"
"413","communication","comunicaciã"
"414","regiã","regiã"
"415","number","nãºmero"
"416","written","escrito"
"417","programs","programas"
"418","Likewise","asimismo"
"419","ximo","ximo"
"420","industry","industria"
"421","public","pãºblica"
"422","peace","paz"
"423","long","largo"
"424","logo","logo"
"425","efforts","esfuerzos"
"426","result","resulta"
"427","fundamental","fundamentales"
"428","nations","naciones"
"429","colleagues","colegas"
"430","population","poblaciã"
"431","data","datos"
"432","no","ningãºn"
"433","groups","grupos"
"434","Ana","ana"
"435","any","ninguna"
"436","maã","maã"
"437","media","medios"
"438","create","crear"
"439","being","siendo"
"440","parts","partes"
"441","cuã","cuã"
"442","practice","ctica"
"443","euro","euros"
"444","may l","puedo"
"445","effect","efecto"
"446","can","puedan"
"447","fundamental","fundamental"
"448","be","sean"
"449","true","cierto"
"450","same","misma"
"451","those","esos"
"452","niã","niã"
"453","interests","intereses"
"454","text","texto"
"455","results","resultados"
"456","He passed","paso"
"457","production","producciã"
"458","Justice","justicia"
"459","beginning","principios"
"460","financing","financiaciã"
"461","Lisbon","lisboa"
"462","refer","refiere"
"463","put","poner"
"464","supposed","supuesto"
"465","different","diferentes"
"466","possibility","posibilidad"
"467","set","conjunto"
"468","I presented","presente"
"469","Police station","comisaria"
"470","free","libre"
"471","so","entonces"
"472","final","final"
"473","court","tribunal"
"474","ãºnico","ãºnico"
"475","wish","deseo"
"476","cases","casos"
"477","energy","energã"
"478","good","buena"
"479","exercise","ejercicio"
"480","While","mientras"
"481","reform","reforma"
"482","after","tras"
"483","go","van"
"484","turquoise","turquã­a"
"485","we should","deberã­amos"
"486","money","dinero"
"487","I have","tengo"
"488","points","puntos"
"489","Last","ãºltimos"
"490","your","ustedes"
"491","had","tenido"
"492","adhesiã","adhesiã"
"493","hour","hora"
"494","success","xito"
"495","according to","segãºn"
"496","front","frente"
"497","follow","sigue"
"498","my","mis"
"499","support","apoyar"
"500","Assembly","asamblea"
"501","at present","actualmente"
"502","plan","plan"
"503","totally","totalmente"
"504","Russia","rusia"
"505","exist","existen"
"506","should","deberã­an"
"507","adopt","adoptar"
"508","stability","estabilidad"
"509","context","contexto"
"510","conference","conferencia"
"511","difficult","difã­cil"
"512","monkeys","micos"
"513","village","pueblo"
"514","equality","igualdad"
"515","reason","motivo"
"516","activities","actividades"
"517","get","conseguir"
"518","respect","respeto"
"519","Actions","acciones"
"520","public","pãºblico"
"521","Projects","proyectos"
"522","words","palabras"
"523","those","esas"
"524","it means","significa"
"525","euro","euro"
"526","avoid","evitar"
"527","months","meses"
"528","establish","establecer"
"529","fishing","pesca"
"530","contrary","contrario"
"531","ace","as"
"532","too","demasiado"
"533","clearly","claramente"
"534","ticos","ticos"
"535","about","acerca"
"536","united","unidas"
"537","low","bajo"
"538","series","serie"
"539","keep","mantener"
"540","idea","idea"
"541","focus","enfoque"
"542","Exterior","exterior"
"543","trã","trã"
"544","It constitutes","constituye"
"545","second","segunda"
"546","fa","fã"
"547","we know","sabemos"
"548","declarations","declaraciã"
"549","outside","fuera"
"550","consequences","consecuencias"
"551","summit","cumbre"
"552","I consider","considero"
"553","remains","queda"
"554","performs","desempeã"
"555","systems","sistemas"
"556","achieve","lograr"
"557","risk","riesgo"
"558","presented","presentado"
"559","financial","financiera"
"560","approve","aprobaciã"
"561","maybe","quizã"
"562","farming","agricultura"
"563","respects","respecta"
"564","reduce","reducir"
"565","integration","integraciã"
"566","side","lado"
"567","transparency","transparencia"
"568","own","propia"
"569","scale","escala"
"570","increase","aumento"
"571","perãodo","perã­odo"
"572","due","debido"
"573","same","igual"
"574","effective","eficaz"
"575","international","internacionales"
"576","zone","zona"
"577","intervened","intervenciã"
"578","governments","gobiernos"
"579","match","partido"
"580","education","educaciã"
"581","solidarity","solidaridad"
"582","markets","mercados"
"583","to know","saber"
"584","elections","elecciones"
"585","drink","tomar"
"586","essential","esencial"
"587","habãa","habã­a"
"588","Participation","participaciã"
"589","consequence","consecuencia"
"590","consequent","consiguiente"
"591","talk","hablar"
"592","capacity","capacidad"
"593","reduction","reducciã"
"594","relative","relativa"
"595","central","central"
"596","values","valores"
"597","accordance","conformidad"
"598","own","propio"
"599","may","podrã"
"600","areas","zonas"
"601","reports","informes"
"602","precisely","precisamente"
"603","questions","preguntas"
"604","training","formaciã"
"605","community","comunitario"
"606","criteria","criterios"
"607","object","objeto"
"608","cohesiã","cohesiã"
"609","pã","pã"
"610","jã","jã"
"611","ãºnica","ãºnica"
"612","those","aquellos"
"613","asociaciã","asociaciã"
"614","neither","tampoco"
"615","path","camino"
"616","dispositions","disposiciones"
"617","Excellent","excelente"
"618","organizations","organizaciones"
"619","areas","mbitos"
"620","hours","horas"
"621","times","veces"
"622","gica","gica"
"623","terrorism","terrorismo"
"624","borders","fronteras"
"625","reach","alcanzar"
"626","good","buen"
"627","procedures","procedimientos"
"628","micas","micas"
"629","appearance","aspecto"
"630","value","valor"
"631","meet","reuniã"
"632","evaluation","evaluaciã"
"633","organization","organizaciã"
"634","instrument","instrumento"
"635","Minister","ministro"
"636","clear","clara"
"637","war","guerra"
"638","only","solamente"
"639","arrive","llegar"
"640","accomplished","realizado"
"641","weather","climã"
"642","moan","gimen"
"643","high","alto"
"644","Spain","espaã"
"645","China","china"
"646","main","principales"
"647","instruments","instrumentos"
"648","Apply","aplicar"
"649","I ask","pido"
"650","defending","defensa"
"651","young","venes"
"652","financial","financieros"
"653","fully","plenamente"
"654","prices","precios"
"655","we go","vamos"
"656","terms","rminos"
"657","helps","ayudas"
"658","do what","hacerlo"
"659","trust","confianza"
"660","reference","referencia"
"661","required","necesaria"
"662","sustainable","sostenible"
"663","any","alguna"
"664","costs","costes"
"665","to accept","aceptar"
"666","find","encontrar"
"667","posts","puestos"
"668","He says","dice"
"669","sectors","sectores"
"670","violence","violencia"
"671","satisfaction","satisfacciã"
"672","personal","personal"
"673","committee","comitã"
"674","third","tercer"
"675","never","nunca"
"676","community","comunitaria"
"677","help","ayudar"
"678","agricultural","agrã­cola"
"679","reasons","razones"
"680","various","varios"
"681","exterior","exteriores"
"682","present","presentar"
"683","poverty","pobreza"
"684","third parties","terceros"
"685","Will","voluntad"
"686","initiatives","iniciativas"
"687","almost","casi"
"688","Who","quienes"
"689","wants","quiere"
"690","global","global"
"691","word","palabra"
"692","principal","principal"
"693","Last","ãºltima"
"694","said","dicha"
"695","ste","ste"
"696","together","junto"
"697","colleague","colega"
"698","worried","preocupaciã"
"699","service","servicio"
"700","to protect","proteger"
"701","same","mismos"
"702","then","luego"
"703","United","unido"
"704","precise","preciso"
"705","must","deberã"
"706","to work","trabajar"
"707","leave","dejar"
"708","revise","revisiã"
"709","fico","fico"
"710","animals","animales"
"711","maximum","xima"
"712","Direction","direcciã"
"713","regional","regional"
"714","week","semana"
"715","magical","gico"
"716","themes","temas"
"717","perform","realizar"
"718","improvement","mejora"
"719","total","total"
"720","constitution","constituciã"
"721","proposes","propone"
"722","wear","llevar"
"723","ticas","ticas"
"724","victims","vã­ctimas"
"725","days","dã­as"
"726","civil","civil"
"727","priority","prioridad"
"728","have","tenga"
"729","face","carã"
"730","character","cter"
"731","enough","suficiente"
"732","difficulties","dificultades"
"733","effects","efectos"
"734","structural","estructurales"
"735","kingdom","reino"
"736","Priorities","prioridades"
"737","quite","bastante"
"738","immigration","inmigraciã"
"739","naturally","naturalmente"
"740","following","siguiente"
"741","sta","sta"
"742","sesiã","sesiã"
"743","there will be","habrã"
"744","needs to","necesita"
"745","law","ley"
"746","express","expresar"
"747","opportunities","oportunidades"
"748","Act","actuar"
"749","comply","cumplir"
"750","financial","financiero"
"751","vote","votar"
"752","delicious","rica"
"753","habrãa","habrã­a"
"754","having","teniendo"
"755","pulled apart","apartado"
"756","approach","abordar"
"757","positive","positivo"
"758","allow","permitir"
"759","reforms","reformas"
"760","vigor","vigor"
"761","relative","relativo"
"762","simply","simplemente"
"763","Coordination","coordinaciã"
"764","increase","aumentar"
"765","changes","cambios"
"766","Finally","finalmente"
"767","needs","necesidades"
"768","often","menudo"
"769","have","hayan"
"770","doing","haciendo"
"771","It represents","representa"
"772","work","labor"
"773","she","ella"
"774","four","cuatro"
"775","we are","somos"
"776","the","lã"
"777","promote","promover"
"778","alar","alar"
"779","five","cinco"
"780","culture","cultura"
"781","foods","alimentos"
"782","ndose","ndose"
"783","to congratulate","felicitar"
"784","bills","cuentas"
"785","debates","debates"
"786","own","propios"
"787","space","espacio"
"788","practices","cticas"
"789","viewed","visto"
"790","juridical","jurã­dico"
"791","ministers","ministros"
"792","financial","financieras"
"793","relative","relativas"
"794","remember","recordar"
"795","safe","seguro"
"796","First","primero"
"797","republic","repãºblica"
"798","full","pleno"
"799","competitiveness","competitividad"
"800","emissions","emisiones"
"801","document","documento"
"802","we can","podamos"
"803","Ireland","irlanda"
"804","who","quien"
"805","evident","evidente"
"806","required","necesarias"
"807","compaã","compaã"
"808","we wait","esperamos"
"809","vote","voto"
"810","consumer","consumidor"
"811","develop","desarrollar"
"812","late","tarde"
"813","concrete","concreto"
"814","reply","responder"
"815","ensure","asegurar"
"816","they","ellas"
"817","people","gente"
"818","functioning","funcionamiento"
"819","March","marcha"
"820","africa","frica"
"821","solve","resolver"
"822","common","comunes"
"823","origin","origen"
"824","reading","lectura"
"825","no one","nadie"
"826","Ave","crã"
"827","compromises","compromisos"
"828","effort","esfuerzo"
"829","permãtanme","permã­tanme"
"830","letter","carta"
"831","I go","voy"
"832","representatives","representantes"
"833","grounds","motivos"
"834","use","utilizar"
"835","mentioned","mencionado"
"836","commercial","comerciales"
"837","model","modelo"
"838","Balance","equilibrio"
"839","farmers","agricultores"
"840","ahead","adelante"
"841","it worked","funciã"
"842","beef up","reforzar"
"843","arrived","llegado"
"844","assistance","asistencia"
"845","britã","britã"
"846","investments","inversiones"
"847","autã","autã"
"848","current","actuales"
"849","Ana","anã"
"850","Bank","banco"
"851","gives","da"
"852","declarations","declaraciones"
"853","activity","actividad"
"854","real","real"
"855","investment","inversiã"
"856","levels","niveles"
"857","list","lista"
"858","convention","convenciã"
"859","thing","cosa"
"860","competitions","competencias"
"861","adoption","adopciã"
"862","line","lã­nea"
"863","split","partir"
"864","It allows","permite"
"865","collaborate","colaboraciã"
"866","package","paquete"
"867","we believe","creemos"
"868","have","tengan"
"869","discrimination","discriminaciã"
"870","homework","tarea"
"871","December","diciembre"
"872","danger","peligro"
"873","could","podrã­an"
"874","impact","impacto"
"875","try","tratar"
"876","ar","ar"
"877","fit","cabe"
"878","true","verdad"
"879","supposed","supone"
"880","possibilities","posibilidades"
"881","serious","grave"
"882","I say","digo"
"883","chance","ocasiã"
"884","several","varias"
"885","nâº","nâº"
"886","such","tales"
"887","ximos","ximos"
"888","presiã","presiã"
"889","France","francia"
"890","greater","mayores"
"891","solutions","soluciones"
"892","nuclear","nuclear"
"893","experience","experiencia"
"894","conflict","conflicto"
"895","north","norte"
"896","candidates","candidatos"
"897","Contributed","contribuciã"
"898","effectiveness","eficacia"
"899","innovation","innovaciã"
"900","make","haga"
"901","mens","hombres"
"902","labor","laboral"
"903","considers","considera"
"904","minutes","acta"
"905","content","contenido"
"906","cause","causa"
"907","conclusions","conclusiones"
"908","key","clave"
"909","proposed","propuesto"
"910","contribute","contribuir"
"911","weapons","armas"
"912","I have","podido"
"913","history","historia"
"914","perspective","perspectiva"
"915","which","cuales"
"916","circulaciã","circulaciã"
"917","algãºn","algãºn"
"918","areas","reas"
"919","I think","pienso"
"920","agency","agencia"
"921","there","allã­"
"922","pãºblicos","pãºblicos"
"923","occasions","ocasiones"
"924","asylum","asilo"
"925","intenciã","intenciã"
"926","only","ãºnicamente"
"927","nico","nico"
"928","date","fecha"
"929","different","distintos"
"930","elements","elementos"
"931","ask","pedir"
"932","adequate","adecuada"
"933","responsable","responsable"
"934","disposition","disposiciã"
"935","construction","construcciã"
"936","estratã","estratã"
"937","month","mes"
"938","expenses","gastos"
"939","force","fuerza"
"940","lysis","lisis"
"941","I must","debo"
"942","risks","riesgos"
"943","approved","aprobado"
"944","serious","graves"
"945","daã","daã"
"946","make","hacen"
"947","moments","momentos"
"948","message","mensaje"
"949","large","amplio"
"950","networks","redes"
"951","offer","ofrecer"
"952","previous","anterior"
"953","sea","mar"
"954","June","junio"
"955","follow","siguen"
"956","mã","mã­"
"957","demonstrated","demostrado"
"958","obtain","obtener"
"959","local","locales"
"960","liberties","libertades"
"961","huge","enorme"
"962","company","empresa"
"963","legal","jurã­dica"
"964","I am","soy"
"965","forces","fuerzas"
"966","proceeds","procede"
"967","schedule","agenda"
"968","Benefits","beneficios"
"969","waste","residuos"
"970","authority","autoridad"
"971","Yesterday","ayer"
"972","producers","productores"
"973","they want","quieren"
"974","return","volver"
"975","six","seis"
"976","bouquets","ramos"
"977","Water","agua"
"978","phase","fase"
"979","obligaciã","obligaciã"
"980","recognition","reconocimiento"
"981","absolutely","absolutamente"
"982","ground","terreno"
"983","top","mejores"
"984","wait","esperar"
"985","Execute","ejecuciã"
"986","unemployment","desempleo"
"987","general","generales"
"988","knows","sabe"
"989","shapes","formas"
"990","strong","fuerte"
"991","include","incluir"
"992","Germany","alemania"
"993","were","fueron"
"994","prevent","prevenciã"
"995","conclusiã","conclusiã"
"996","consumption","consumo"
"997","they need","necesitan"
"998","please","complace"
"999","introduction","introducciã"
"1000","liberalization","liberalizaciã"
"1001","just","acaba"
"1002","requirements","requisitos"
"1003","positive","positiva"
"1004","environmental","medioambiental"
"1005","covenant","pacto"
"1006","ten","diez"
"1007","responsible","responsables"
"1008","move along","avanzar"
"1009","budgets","presupuestos"
"1010","Israel","israel"
"1011","agreement","convenio"
"1012","highlight","destacar"
"1013","aims to","pretende"
"1014","to consider","considerar"
"1015","required","necesarios"
"1016","progress","progreso"
"1017","foment","fomentar"
"1018","there","allã"
"1019","Brussels","bruselas"
"1020","omc","omc"
"1021","find","encuentra"
"1022","catã","catã"
"1023","cultural","cultural"
"1024","concept","concepto"
"1025","food","alimentaria"
"1026","taxes","impuestos"
"1027","you know","saben"
"1028","present","actualidad"
"1029","I was","estaba"
"1030","villages","pueblos"
"1031","public","pãºblicas"
"1032","commercial","comercial"
"1033","adopted","adoptado"
"1034","fr","fr"
"1035","harã","harã"
"1036","budgetary","presupuestario"
"1037","Kosovo","kosovo"
"1038","administraciã","administraciã"
"1039","plans","planes"
"1040","territory","territorio"
"1041","emphasis","hincapiã"
"1042","establishes","establece"
"1043","refugees","refugiados"
"1044","perspectives","perspectivas"
"1045","fiscal","fiscal"
"1046","mandate","mandato"
"1047","penalties","sanciones"
"1048","pain","pena"
"1049","suitable","adecuado"
"1050","differences","diferencias"
"1051","quantity","cantidad"
"1052","existing","existentes"
"1053","goes","vã"
"1054","field","campo"
"1055","mediterrã","mediterrã"
"1056","net","red"
"1057","soon","pronto"
"1058","to struggle","luchar"
"1059","capital","capital"
"1060","treaties","tratados"
"1061","opinions","opiniones"
"1062","juridical","jurã­dicos"
"1063","death","muerte"
"1064","Internet","internet"
"1065","taking","toma"
"1066","possible","posibles"
"1067","take part","participar"
"1068","Introduce","introducir"
"1069","woman","mujer"
"1070","fair","justo"
"1071","recognize","reconocer"
"1072","neo","neo"
"1073","documents","documentos"
"1074","crates","cratas"
"1075","threat","amenaza"
"1076","to go","ir"
"1077","price","precio"
"1078","request","peticiã"
"1079","fight","combatir"
"1080","We consider","consideramos"
"1081","dimensiã","dimensiã"
"1082","got","conseguido"
"1083","broad","amplia"
"1084","equally","igualmente"
"1085","weeks","semanas"
"1086","evidently","evidentemente"
"1087","January","enero"
"1088","advances","avances"
"1089","poor","pobres"
"1090","position","postura"
"1091","nature","naturaleza"
"1092","ask","pida"
"1093","attitude","actitud"
"1094","environmental","medioambientales"
"1095","accomplished","logrado"
"1096","histã","histã"
"1097","obligations","obligaciones"
"1098","use","utilizaciã"
"1099","matches","partidos"
"1100","Regrettably","lamentablemente"
"1101","concrete","concretas"
"1102","said","dichos"
"1103","independence","independencia"
"1104","knowledge","conocimiento"
"1105","final","finales"
"1106","Greece","grecia"
"1107","quiã","quiã"
"1108","directly","directamente"
"1109","regional","regionales"
"1110","shows","demuestra"
"1111","find","encuentran"
"1112","fulfillment","cumplimiento"
"1113","Recently","recientemente"
"1114","continue","continuar"
"1115","popular","popular"
"1116","Delegation","delegaciã"
"1117","received","recibido"
"1118","military","militar"
"1119","go to","irã"
"1120","views","vistas"
"1121","book","libro"
"1122","technically","ticamente"
"1123","tourism","turismo"
"1124","illegal","ilegal"
"1125","mechanism","mecanismo"
"1126","prohibit","prohibiciã"
"1127","community","comunitarias"
"1128","speakers","ponentes"
"1129","same","mismas"
"1130","entry","entrada"
"1131","talking","hablando"
"1132","budgetary","presupuestaria"
"1133","technologies","tecnologã­as"
"1134","said","dichas"
"1135","worries","preocupaciones"
"1136","Thousands","miles"
"1137","we will have","tendremos"
"1138","whose","cuya"
"1139","circumstances","circunstancias"
"1140","technology","tecnologã­a"
"1141","ahã","ahã­"
"1142","responsibilities","responsabilidades"
"1143","conflicts","conflictos"
"1144","campaign","campaã"
"1145","closed","cerrado"
"1146","person","persona"
"1147","low","bajos"
"1148","will allow","permitirã"
"1149","obsta","obstã"
"1150","quickly","pidamente"
"1151","whose","cuyo"
"1152","consensus","consenso"
"1153","it affects","afecta"
"1154","jobs","trabajos"
"1155","south","sur"
"1156","representative","representante"
"1157","tell","contar"
"1158","start","empezar"
"1159","statute","estatuto"
"1160","mainly","principalmente"
"1161","to mention","mencionar"
"1162","near","cerca"
"1163","judgment","juicio"
"1164","oposiciã","oposiciã"
"1165","offers","ofrece"
"1166","harmonization","armonizaciã"
"1167","underline","subrayar"
"1168","events","acontecimientos"
"1169","March","marzo"
"1170","spirit","espã­ritu"
"1171","credits","ditos"
"1172","I welcome","acojo"
"1173","establishment","establecimiento"
"1174","rural","rural"
"1175","to ease","facilitar"
"1176","It includes","incluye"
"1177","pose","plantea"
"1178","good","buenas"
"1179","monetary","monetaria"
"1180","would have","hubiera"
"1181","scope","alcance"
"1182","flexibility","flexibilidad"
"1183","they constitute","constituyen"
"1184","vehicles","vehã­culos"
"1185","able","capaces"
"1186","types","tipos"
"1187","may","mayo"
"1188","condition","condiciã"
"1189","agricultural","agrã­colas"
"1190","corresponds","corresponde"
"1191","serious","serio"
"1192","clã","clã"
"1193","try","intentar"
"1194","expressed","expresiã"
"1195","lathe","torno"
"1196","clarity","claridad"
"1197","define","definiciã"
"1198","study","estudio"
"1199","asks","pide"
"1200","Italy","italia"
"1201","both of them","ambos"
"1202","demands","exige"
"1203","efficiency","eficiencia"
"1204","legislative","legislativo"
"1205","ideas","ideas"
"1206","mechanisms","mecanismos"
"1207","currency","moneda"
"1208","income","ingresos"
"1209","element","elemento"
"1210","partners","socios"
"1211","will be","estarã"
"1212","allow","permita"
"1213","I appreciate","agradezco"
"1214","rest","resto"
"1215","comments","comentarios"
"1216","directives","directivas"
"1217","related","relacionados"
"1218","gã","gã"
"1219","supervised","supervisiã"
"1220","hand","mano"
"1221","a lot","mucha"
